UN_DENOMINACION,TIPO,CONTRATACION,NOMBRE_TS,INICIO,ACCION
3,1,32508,10,01-jul-11,GO
2,1,111611,4,31-ene-15,GO
2,1,4304,10,08-abr-15,GO
2,1,2955,4,15-sep-14,GO
2,1,34641,5,20-nov-13,GO
3,1,91482,10,30-nov-14,GO
2,1,3213,9,31-jul-13,GO
3,1,48879,2,01-abr-13,GO
4,1,17103,11,30-nov-15,GO
2,1,24807,10,31-oct-13,NO GO
2,1,6923,9,20-oct-14,GO
4,1,5757,10,17-oct-16,GO
2,1,329765,6,01-ene-11,GO
2,1,2742,10,03-sep-14,GO
3,1,58574,4,31-ene-13,GO
2,1,68666,10,19-mar-12,GO
4,1,2998,11,08-ago-12,NO GO
3,1,1029735,2,30-jul-15,GO
3,1,7335,9,01-ene-16,GO
2,1,62692,9,30-ene-14,GO
2,1,3528,10,01-feb-15,GO
2,1,27760,10,26-ago-13,GO
2,1,2277,10,28-abr-14,GO
2,1,125209,4,31-may-13,GO
2,1,6394,10,03-oct-16,GO
4,1,195547,4,13-ago-14,NO GO
2,1,3697,10,31-jul-15,GO
4,1,7484,5,01-sep-12,NO GO
3,1,601300,2,01-ago-14,NO GO
2,1,7051,6,01-mar-12,GO
2,1,4026,10,30-nov-15,GO
2,1,6831,9,01-ene-16,GO
2,1,13365,6,30-sep-11,GO
4,1,1228,1,01-dic-16,GO
2,1,10067,6,16-may-11,GO
2,1,12266,9,03-ene-12,GO
4,1,3583,10,30-jun-15,GO
3,1,8956,10,26-feb-16,GO
2,1,5341,9,30-nov-15,GO
2,1,17466,4,20-dic-13,GO
3,1,13535,7,30-nov-16,GO
2,1,300111,10,31-ago-15,GO
2,1,8456,10,01-abr-14,GO
3,1,28869,10,30-nov-15,GO
4,1,83685,5,31-may-15,NO GO
2,1,8419,6,02-jun-11,GO
2,1,39222,9,31-ene-16,GO
2,1,44682,9,01-ene-13,GO
2,1,35032,10,17-jun-13,GO
3,1,361709,6,01-ene-11,GO
2,1,36401,9,01-may-14,GO
3,1,10076,2,09-abr-15,NO GO
2,1,177389,10,31-mar-16,NO GO
2,1,76817,9,01-ene-16,NO GO
2,1,14869,10,31-jul-15,NO GO
2,1,1043,9,30-jun-15,GO
2,1,12470,9,31-ene-16,GO
2,1,36792,6,27-may-11,GO
2,1,10788,6,22-jul-11,GO
4,1,6395,9,24-oct-12,GO
3,1,57899,2,15-abr-12,GO
4,1,345839,9,01-feb-12,GO
2,1,2983,9,30-nov-16,GO
2,1,4543,9,01-ene-15,NO GO
2,1,2773,10,22-ene-15,GO
2,1,3039,9,30-abr-15,GO
3,1,11598,7,30-jun-16,GO
0,0,65378,4,01-mar-12,GO
2,1,5536,9,24-sep-14,NO GO
3,1,4998,5,25-sep-12,GO
4,1,25423,5,24-jun-11,GO
2,1,25086,10,30-abr-15,GO
2,1,126928,6,10-ago-11,GO
2,1,23320,6,28-abr-11,NO GO
0,0,289246,10,31-oct-11,GO
2,1,3699,9,01-abr-16,GO
2,1,13512,10,30-sep-15,GO
2,1,12012,10,28-abr-14,GO
2,1,19574,10,31-ene-15,GO
2,1,15132,10,01-sep-14,GO
2,1,15132,10,01-sep-14,GO
4,1,17900,6,28-feb-11,GO
4,1,11268,11,27-jun-14,GO
2,1,13212,10,30-sep-15,GO
2,1,26797,6,30-sep-11,GO
2,1,4937,6,14-oct-11,GO
2,1,12964,10,30-jun-16,GO
2,1,12964,10,30-jun-16,GO
2,1,2757,10,04-feb-14,GO
2,1,5438,10,27-oct-15,GO
3,1,218705,5,27-nov-15,GO
2,1,13075,6,15-jun-12,GO
4,1,45329,5,16-jun-16,GO
4,1,29093,11,29-dic-11,GO
2,1,38997,10,30-oct-14,NO GO
2,1,31465,6,31-mar-11,GO
2,1,20499,10,27-may-14,GO
2,1,7301,9,31-ene-15,GO
2,1,35389,6,18-may-12,GO
2,1,11832,6,09-abr-12,GO
