Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,res1H,res1A,res5H,res5A,res20H,res20A,HomeWin,ScoreDraw
E1,2000/09/23,Crystal Palace,Sheffield United,0,1,A,0,1,A,13.0,5.0,4.0,1.0,19.0,14.0,8.0,5.0,2.0,0.0,1.0,0.0,0,1,-0.4,-0.2,-0.15,-0.2,0,0
E1,2000/09/23,Fulham,Gillingham,3,0,H,1,0,H,18.0,5.0,8.0,5.0,10.0,5.0,3.0,3.0,1.0,2.0,0.0,0.0,1,1,1.0,0.2,0.4,0.3,1,0
E1,2000/09/23,Grimsby,Nott'm Forest,0,2,A,0,2,A,14.0,9.0,7.0,4.0,8.0,16.0,7.0,5.0,1.0,2.0,0.0,0.0,0,-1,-0.2,-0.4,-0.4,0.1,0,0
E1,2000/09/23,Huddersfield,Burnley,0,1,A,0,1,A,13.0,8.0,5.0,3.0,12.0,21.0,8.0,4.0,2.0,3.0,0.0,0.0,-1,0,-0.4,0.2,0.1,0.15,0,0
E1,2000/09/23,Portsmouth,West Brom,0,1,A,0,0,D,14.0,5.0,5.0,3.0,13.0,11.0,4.0,5.0,0.0,0.0,0.0,0.0,-1,0,-0.4,0.2,-0.05,-0.15,0,0
E1,2000/09/23,QPR,Wimbledon,2,1,H,0,0,D,9.0,14.0,8.0,6.0,8.0,14.0,6.0,13.0,1.0,2.0,0.0,0.0,-1,0,-0.2,0.0,-0.05,-0.6,1,0
E1,2000/09/23,Sheffield Weds,Preston,1,3,A,1,0,H,12.0,12.0,4.0,7.0,12.0,10.0,6.0,7.0,1.0,1.0,0.0,0.0,-1,0,-0.4,0.0,-0.55,0.45,0,0
E1,2000/09/23,Stockport,Watford,2,3,A,0,1,A,11.0,13.0,7.0,8.0,10.0,10.0,6.0,5.0,0.0,0.0,0.0,1.0,0,1,-0.4,0.8,-0.4,-0.05,0,0
E1,2000/09/24,Wolves,Norwich,4,0,H,3,0,H,19.0,8.0,12.0,5.0,13.0,12.0,5.0,9.0,1.0,3.0,0.0,0.0,0,0,-0.4,-0.4,0.15,-0.05,1,0
E1,2000/09/30,Barnsley,Grimsby,2,0,H,1,0,H,20.0,13.0,7.0,7.0,6.0,7.0,8.0,7.0,1.0,0.0,0.0,0.0,0,-1,-0.4,-0.6000000000000001,0.1,-0.4,1,0
E1,2000/09/30,Bolton,Fulham,0,2,A,0,1,A,19.0,17.0,9.0,9.0,11.0,11.0,3.0,6.0,3.0,4.0,0.0,0.0,0,1,0.8,1.0,0.65,0.15,0,0
E1,2000/09/30,Burnley,Portsmouth,1,1,D,0,0,D,6.0,12.0,2.0,4.0,9.0,9.0,3.0,4.0,2.0,2.0,0.0,0.0,1,-1,0.0,-0.2,0.5,0.0,0,1
E1,2000/09/30,Gillingham,Sheffield Weds,2,0,H,1,0,H,17.0,8.0,7.0,5.0,5.0,12.0,6.0,6.0,0.0,1.0,0.0,0.0,-1,-1,-0.2,-0.4,0.15,-0.35000000000000003,1,0
E1,2000/09/30,Norwich,Huddersfield,1,1,D,0,0,D,13.0,9.0,6.0,5.0,11.0,16.0,6.0,3.0,0.0,2.0,0.0,0.0,-1,-1,-0.4,-0.8,-0.4,-0.15,0,1
E1,2000/09/30,Nott'm Forest,Wolves,0,0,D,0,0,D,10.0,10.0,3.0,1.0,7.0,7.0,8.0,5.0,2.0,2.0,0.0,0.0,1,1,0.2,-0.4,0.0,0.0,0,0
E1,2000/09/30,Preston,Crystal Palace,2,0,H,1,0,H,18.0,4.0,9.0,2.0,20.0,10.0,5.0,4.0,0.0,0.0,0.0,0.0,1,-1,0.2,-0.6000000000000001,0.25,-0.25,1,0
E1,2000/09/30,Sheffield United,QPR,1,1,D,1,0,H,14.0,10.0,7.0,6.0,9.0,13.0,7.0,4.0,1.0,1.0,0.0,0.0,1,1,0.0,0.2,-0.3,0.2,0,1
E1,2000/09/30,Tranmere,Crewe,1,3,A,0,2,A,22.0,17.0,6.0,8.0,13.0,6.0,8.0,5.0,0.0,0.0,0.0,0.0,-1,0,-0.2,-0.2,-0.15,0.0,0,0
E1,2000/09/30,West Brom,Blackburn,1,0,H,0,0,D,10.0,8.0,7.0,4.0,13.0,12.0,4.0,2.0,1.0,1.0,0.0,0.0,1,0,0.8,0.2,0.15,0.0,1,0
E1,2000/09/30,Wimbledon,Stockport,2,0,H,1,0,H,17.0,10.0,9.0,5.0,2.0,10.0,4.0,4.0,0.0,0.0,0.0,0.0,-1,-1,0.2,-0.6000000000000001,-0.5,-0.25,1,0
E1,2000/10/01,Watford,Birmingham,2,0,H,0,0,D,19.0,16.0,7.0,6.0,15.0,17.0,5.0,7.0,0.0,1.0,0.0,0.0,1,1,0.8,1.0,-0.1,0.35000000000000003,1,0
E1,2000/10/06,Gillingham,Bolton,2,2,D,0,2,A,16.0,8.0,4.0,6.0,12.0,22.0,8.0,3.0,3.0,3.0,0.0,0.0,1,-1,0.4,0.6000000000000001,0.25,0.6,0,1
E1,2000/10/06,Huddersfield,Barnsley,1,1,D,0,0,D,15.0,7.0,3.0,3.0,14.0,8.0,3.0,3.0,0.0,1.0,0.0,0.0,0,1,-0.6000000000000001,-0.2,-0.05,0.35000000000000003,0,1
E1,2000/10/06,Tranmere,Burnley,2,3,A,0,1,A,16.0,9.0,9.0,6.0,10.0,13.0,5.0,11.0,1.0,2.0,0.0,0.0,-1,0,0.2,0.0,0.05,0.4,0,0
E1,2000/10/08,Crewe,Birmingham,0,2,A,0,0,D,4.0,17.0,1.0,9.0,6.0,7.0,1.0,8.0,0.0,3.0,0.0,0.0,1,-1,0.0,0.4,-0.15,0.4,0,0
E1,2000/10/08,Sheffield Weds,West Brom,1,2,A,1,1,D,9.0,12.0,3.0,6.0,13.0,13.0,1.0,10.0,0.0,2.0,0.0,0.0,-1,1,-0.8,0.6000000000000001,-0.3,0.1,0,0
